x,psi_1,psi_2,psi_3,psi_4,psi_5,psi_6,psi_7,psi_8,psi_9,psi_10,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10
0.09675,0.42326082778737656,0.8077188019533549,1.118128358732616,1.3260323960178055,1.4123711062471247,1.3692293030509728,1.2005620537648618,0.9218320947326811,0.5585922697098125,0.14414294772285677,0.17914972833925524,0.652409663028963,1.2502110266020938,1.7583619152887222,1.9947921417617267,1.8747888843334526,1.4413492449401029,0.8497744108792428,0.3120253237795599,0.02077718937823422
0.097,0.4243205046595647,0.8095412755539294,1.1201654903108658,1.3275701529529234,1.412643608488383,1.3675466188285963,1.1964347226994707,0.9150753164658723,0.5493947406069042,0.1330892530270996,0.18004789067454768,0.655357076825483,1.2547707256833822,1.7624425110114483,1.9955619646030802,1.8701837546695261,1.4314560456809593,0.8373628348051163,0.30183458100652755,0.017712749271311338
0.09725,0.42537991978954626,0.8113617516918804,1.1221964031224752,1.3290948073065931,1.4128943260176756,1.3658335660881302,1.1922712286918649,0.9082824125924296,0.5401697611802463,0.12202734875930932,0.18094807616016081,0.6583078921085166,1.2593247671810208,1.7664930068093498,1.996270376492942,1.8655013302530188,1.421510682766409,0.8249769410247245,0.2917833708935243,0.01489067384522611
0.0975,0.4264390725238209,0.8131802258753644,1.1242210858925272,1.3306063440310922,1.4131232549686272,1.364090182870599,1.1880716975860965,0.901453651284566,0.5309177923528382,0.11095791726984747,0.1818502825749766,0.6612620797547087,1.263873049965373,1.7705132427757895,1.9969173337331279,1.860742027003944,1.4115143586051093,0.812618685414276,0.2818737022368114,0.012311659404862315
0.09775,0.4274979622090498,0.8149966936174768,1.126239527380692,1.3321047482081634,1.413330391810871,1.3623165078905612,1.1838362563154594,0.8945893021300855,0.5216392963961961,0.09988164137338994,0.18275450769289017,0.6642196106074194,1.2684154730346844,1.7745030601987344,1.9975027964162704,1.8559062676711335,1.401468281767002,0.8002900194855933,0.27210755554471855,0.00997634228344248
0.098,0.42855658819205666,0.8168111504362643,1.1282517163812893,1.3335900050491618,1.4135157333501003,1.3605125805352527,1.179565032898654,0.8876896361217392,0.5123347369072551,0.08879920430680796,0.18366074928281603,0.6671804554770135,1.2729519355173253,1.7784623015670233,1.9980267284282718,1.8509944817946924,1.3913736668372028,0.7879928900779458,0.26248688264182624,0.007885298685522221
0.09825,0.4296149498198279,0.8186235918547347,1.1302576417233499,1.3350620998952027,1.4136792767281192,1.3586784408637103,1.1752581564359164,0.8807549256465269,0.503004578785206,0.07771128968702212,0.18456900510869323,0.6701445851411472,1.2774823366740282,1.7823908105765882,1.9984890974505383,1.8460071056678427,1.381231734269149,0.7757292390506192,0.2530136062788825,0.006039044544820271
0.0985,0.4306730464395127,0.8204340134008692,1.1322572922706788,1.336521018217304,1.4138210194228866,1.3568141296058829,1.1709157571051176,0.873785444474944,0.49364928820826665,0.06661858146883615,0.18547927292949068,0.6731119703450577,1.2820065759001293,1.786288432136619,1.9988898749619703,1.8409445822981696,1.3710437102370507,0.7635010029762754,0.24368961974852832,0.004438035396919959
0.09875,0.43173087739842403,0.8222424106076326,1.1342506569219162,1.3379667456165307,1.4139409592485548,1.3549196881617265,1.1665379661578281,0.8667814677501735,0.48426933261038946,0.05552176390274365,0.18639155049921305,0.6760825818018507,1.2865245527277984,1.7901550123756902,1.9992290362407232,1.8358073613682702,1.3608108264876422,0.751310112835145,0.23451678650691202,0.003082666266872008
0.099,0.43278844204403855,0.8240487790129846,1.1362377246105992,1.3393992678241375,1.4140390943555032,1.352995158600286,1.16212491591535,0.859743271977224,0.47486518065790667,0.04442152149272277,0.1873058355669061,0.6790563901927906,1.291036166828272,1.7939903986478358,1.9995065603657318,1.830595899195813,1.3505343201912592,0.739158493710103,0.22549693980126634,0.001973271571728431
0.09925,0.43384573972399726,0.8258531141598905,1.1382184843052239,1.340818570701708,1.4141154232303672,1.351040583658759,1.157676739764719,0.852671135012013,0.46543730222611296,0.03331853895401217,0.18822212587666237,0.6820333661675891,1.2955413180140811,1.797794439538571,1.9997224302180006,1.825310658693,1.340215433792269,0.7270480644826744,0.216631882303522,0.0011101250380300264
0.0995,0.43490276978610587,0.827655411596333,1.1401929250093057,1.342224640241296,1.4141699446960612,1.3490560067415485,1.153193572154672,0.8455653360503986,0.4559861683757887,0.022213501170874554,0.1891404191676266,0.6850134803446954,1.3000399062412762,1.8015669848708766,1.9998766324816606,1.819952109325453,1.3298554148588526,0.7149807375300236,0.20792338575003314,0.0004934396342684452
