time,E12,E13,E23
40.57,-1.5182822593084477,-0.01053739928519462,-0.07371950262135707
40.58,-1.5183113358612634,-0.020687109338870746,-0.06056098608071003
40.59,-1.5183467766571874,-0.030513722975196195,-0.046881400973878995
40.6,-1.5183883901125101,-0.040019128501578655,-0.03265259210194996
40.61,-1.5184359651570492,-0.04920302664643758,-0.017842612818482345
40.62,-1.5184892651922568,-0.05806276538080388,-0.002415348549920704
40.63,-1.5185480285265855,-0.06659312341742918,0.013669933719418437
40.64,-1.518611969171876,-0.07478603197608052,0.03045912333111761
40.65,-1.5186807741316604,-0.0826302218340638,0.048003907368569354
40.660000000000004,-1.5187541041884869,-0.0901107804732626,0.06636253283190646
40.67,-1.5188315914485624,-0.09720859753669817,0.0856007147772192
40.68,-1.5189128383123798,-0.10389967202884556,0.105792718559859
40.69,-1.5189974150745937,-0.11015424542009945,0.12702265338757385
40.7,-1.519084858330117,-0.11593571437418283,0.14938602221035424
40.71,-1.5191746686997183,-0.12119926132727973,0.17299158536230586
40.72,-1.5192663079915452,-0.12589012095082325,0.19796360950778913
40.730000000000004,-1.5193591951353418,-0.12994137232434644,0.2244445918945558
40.74,-1.5194527040905992,-0.1332711082125593,0.25259857180300815
40.75,-1.5195461588468797,-0.13577877726417695,0.28261517161448163
40.76,-1.519638828556004,-0.13734041865857566,0.31471454252465814
40.77,-1.5197299232357362,-0.1378023981882652,0.34915343100915774
40.78,-1.5198185882507544,-0.13697309550121456,0.3862326266391971
40.79,-1.5199038965625484,-0.1346117610266105,0.4263060920571533
40.800000000000004,-1.519984845493813,-0.13041342323767702,0.4697920916366459
40.81,-1.5200603482414445,-0.12398822612346089,0.5171865932058977
40.82,-1.5201292301240898,-0.11483284348884198,0.5690790102743327
40.83,-1.5201902304527386,-0.10229054055822867,0.6261697920202982
40.84,-1.5202419950731716,-0.08549491359601927,0.6892880213159867
40.85,-1.520283105418566,-0.06329026625277981,0.7594040845313202
40.86,-1.5203120973078277,-0.03411914952102926,0.8376256544918104
40.87,-1.5203275376821384,0.00413397245056954,0.9251502432229832
40.88,-1.5203281454587936,0.054350348498379136,1.0231153117078795
40.89,-1.5203130291158766,0.12042090674719885,1.1322191426780774
40.9,-1.5202820974349485,0.2074324303747021,1.2518526595472113
40.910000000000004,-1.5202367574843239,0.32147220934906584,1.3782653353674486
40.92,-1.5201809661596313,0.46818155149272755,1.5011321422899089
40.93,-1.5201224670323752,0.648347756026329,1.5986588619843767
40.94,-1.5200732304190119,0.8492976908121763,1.6354090064804052
40.95,-1.5200469047792131,1.0376615658671284,1.574350619452626
40.96,-1.5200521891068703,1.170157249044352,1.407522298155593
40.97,-1.5200868839771973,1.2237866503085995,1.1725895997154845
40.980000000000004,-1.5201396083822694,1.2092249076944364,0.9249082913424451
40.99,-1.5201969868350762,1.1530619229579633,0.7019918245442589
41.0,-1.5202488119325799,1.0783510031971424,0.516999537609672
41.01,-1.5202890917662675,0.9990594549109981,0.36894786940801744
41.02,-1.5203151172450027,0.9221049511576456,0.25190302875739734
41.03,-1.5203262432212505,0.8503550758967763,0.15940722100618807
41.04,-1.520322984101568,0.7846520767668905,0.08595208594176096
41.050000000000004,-1.5203064464042857,0.7249153757037683,0.02722084568975419
